YEAR,TERM,TERM_TEXT,CRN,SUB,NUM,SECT,SEQ,SECTION_TITLE,CREDITS,DAYS,TIMES,BLDG,ROOM,PROF,NOTES,MAX_ENROLL,DIST,INTERDISCIPLINARY_COURSE1,INTERDISCIPLINARY_COURSE2,INTERDISCIPLINARY_COURSE3,INTERDISCIPLINARY_COURSE4
2016,201601,Fall 2016,15780,AFR,101,0,1,Intro to Africana Studies,1,  T  R  ,0815-0930am,CHAM,1006,Hucks T,,30,CULT LBRQ,,,,
2016,201601,Fall 2016,16148,AFR,120,0,1,Afro-Latin America,1,  T  R  ,1215-0130pm,CHAM,2084,Benson D,XLST,15,CULT LBRQ,,,,
2016,201601,Fall 2016,16139,AFR,230,0,1,History of the Caribbean,1,  T  R  ,0305-0420pm,CHAM,2084,Benson D,XLST,15,,,,,
2016,201601,Fall 2016,16154,AFR,245,0,1,Afr Relig & Healng in Am South,1,  T  R  ,0940-1055am,CHAM,B027,Hucks T,,15,CULT PRRQ,,,,
2016,201601,Fall 2016,12408,ANT,101,0,1,Intro Cultural Anthropology,1,  T  R  ,0940-1055am,CHAM,2187,Ruhlen R,,30,SSRQ,,,,
2016,201601,Fall 2016,14362,ANT,108,0,1,Introduction to Archaeology,1, M  W  F ,1130-1220pm,CHAM,1027,Ringle B,,30,SSRQ,ARC,,,
2016,201601,Fall 2016,14362,ANT,108,0,1,Introduction to Archaeology,1, M  W  F ,1130-1220pm,CHAM,1027,Ringle B,,30,SSRQ,ARC,,,
2016,201601,Fall 2016,14712,ANT,220,0,1,"Religion, Society & Culture",1, M  W  F ,0830-0920am,CHAM,1027,Samson M,,30,CULT SSRQ,REL,,,
2016,201601,Fall 2016,14712,ANT,220,0,1,"Religion, Society & Culture",1, M  W  F ,0830-0920am,CHAM,1027,Samson M,,30,CULT SSRQ,REL,,,
2016,201601,Fall 2016,15698,ANT,261,0,1,"Science, Policy, and Society",1, M  W  F ,1030-1120am,CHAM,1027,Lozada F,,30,CULT SSRQ,DIG,ENV,,
2016,201601,Fall 2016,15698,ANT,261,0,1,"Science, Policy, and Society",1, M  W  F ,1030-1120am,CHAM,1027,Lozada F,,30,CULT SSRQ,DIG,ENV,,
2016,201601,Fall 2016,15698,ANT,261,0,1,"Science, Policy, and Society",1, M  W  F ,1030-1120am,CHAM,1027,Lozada F,,30,CULT SSRQ,DIG,ENV,,
